"Off-by-one comparison against length","An array index is compared with the length of the array, and then used in an indexing operation that could be out of bounds.","error","Off-by-one index comparison against length may lead to out-of-bounds [[""read""|""relative:///database/seed/facility_studios.seed.go:22:29:22:38""]].
Off-by-one index comparison against length may lead to out-of-bounds [[""read""|""relative:///database/seed/facility_studios.seed.go:25:29:25:38""]].","/database/seed/facility_studios.seed.go","11","8","11","46"
"Off-by-one comparison against length","An array index is compared with the length of the array, and then used in an indexing operation that could be out of bounds.","error","Off-by-one index comparison against length may lead to out-of-bounds [[""read""|""relative:///database/seed/facility_studios.seed.go:22:29:22:38""]].
Off-by-one index comparison against length may lead to out-of-bounds [[""read""|""relative:///database/seed/facility_studios.seed.go:25:29:25:38""]].","/database/seed/facility_studios.seed.go","11","8","11","23"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///internal/modules/promo/controllers/promo.controller.go:29:31:29:34""]].
This log entry depends on a [[""user-provided value""|""relative:///internal/modules/promo/controllers/promo.controller.go:103:31:103:34""]].","/internal/modules/promo/services/promo.service.go","328","56","328","64"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""password""|""relative:///database/seed/user.seed.go:13:60:13:69""]].","/database/seed/user.seed.go","13","60","13","69"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""password""|""relative:///database/seed/user.seed.go:14:56:14:63""]].","/database/seed/user.seed.go","14","56","14","63"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""password""|""relative:///database/seed/user.seed.go:15:64:15:75""]].","/database/seed/user.seed.go","15","64","15","75"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""password""|""relative:///database/seed/user.seed.go:16:60:16:69""]].","/database/seed/user.seed.go","16","60","16","69"
